advances,captured_at,chart30dPath,chart365dPath,chartTodayPath,date30dAgo,date365dAgo,declines,dy,high,index,indexSymbol,indicativeClose,key,last,low,oneMonthAgoVal,oneWeekAgo,oneWeekAgoVal,oneYearAgoVal,open,pb,pe,perChange30d,perChange365d,percentChange,previousClose,previousDay,previousDayVal,unchanged,variation,yearHigh,yearLow
11,2026-09-07 12:57:39,https://nsearchives.nseindia.com/30d/NIFTY-50.svg,https://nsearchives.nseindia.com/365d/NIFTY-50.svg,https://nsearchives.nseindia.com/today/NIFTY-50.svg,07-Aug-2026,05-Sep-2025,39,1.19,23890,NIFTY 50,NIFTY 50,0,INDICES ELIGIBLE IN DERIVATIVES,23740.35,23738.7,24570.65,31-Aug-2026,24080.4,24741,23883.15,2.89,20.2,-3.38,-4.04,-0.66,23897.7,04-Sep-2026,23897.7,0,-157.35,26373.2,22182.55
13,2026-09-07 12:57:39,https://nsearchives.nseindia.com/30d/NIFTY-NEXT-50.svg,https://nsearchives.nseindia.com/365d/NIFTY-NEXT-50.svg,https://nsearchives.nseindia.com/today/NIFTY-NEXT-50.svg,07-Aug-2026,05-Sep-2025,37,0.99,72962.55,NIFTY NEXT 50,NIFTY NEXT 50,0,INDICES ELIGIBLE IN DERIVATIVES,72558.35,72554.25,74697.55,31-Aug-2026,73759.7,67089.8,72884.4,3.24,19.27,-2.86,8.15,-0.44,72880.9,04-Sep-2026,72880.9,0,-322.55,75000.4,59896.1
1,2026-09-07 12:57:39,https://nsearchives.nseindia.com/30d/NIFTY-BANK.svg,https://nsearchives.nseindia.com/365d/NIFTY-BANK.svg,https://nsearchives.nseindia.com/today/NIFTY-BANK.svg,07-Aug-2026,05-Sep-2025,13,0.68,57426.85,NIFTY BANK,NIFTY BANK,0,INDICES ELIGIBLE IN DERIVATIVES,57011.35,57002.95,57746.45,31-Aug-2026,58024.95,54114.55,57343.3,1.72,13.57,-1.27,5.35,-0.62,57369.65,04-Sep-2026,57369.65,0,-358.3,61764.85,49954.85
3,2026-09-07 12:57:39,https://nsearchives.nseindia.com/30d/NIFTY-FIN-SERVICE.svg,https://nsearchives.nseindia.com/365d/NIFTY-FIN-SERVICE.svg,https://nsearchives.nseindia.com/today/NIFTY-FIN-SERVICE.svg,07-Aug-2026,05-Sep-2025,17,0.96,26080.6,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,0,INDICES ELIGIBLE IN DERIVATIVES,25913.8,25910.5,26466,31-Aug-2026,26293.65,25889.3,26069.9,2.41,15.98,-2.09,0.09,-0.53,26051,04-Sep-2026,26051,0,-137.2,28562.5,23373.95
5,2026-09-07 12:57:39,https://nsearchives.nseindia.com/30d/NIFTY-MID-SELECT.svg,https://nsearchives.nseindia.com/365d/NIFTY-MID-SELECT.svg,https://nsearchives.nseindia.com/today/NIFTY-MID-SELECT.svg,07-Aug-2026,05-Sep-2025,19,0.49,14762.45,NIFTY MIDCAP SELECT,NIFTY MID SELECT,0,INDICES ELIGIBLE IN DERIVATIVES,14611.65,14611.4,14875,31-Aug-2026,15028.6,12778.15,14724.05,4.44,32.12,-1.77,14.35,-0.69,14713.65,04-Sep-2026,14713.65,1,-102,15089.75,12046.2
35,2026-09-07 12:57:39,https://nsearchives.nseindia.com/30d/NIFTY-FPI-150.svg,,https://nsearchives.nseindia.com/today/NIFTY-FPI-150.svg,07-Aug-2026,,114,1.06,1553.25,NIFTY INDIA FPI 150,NIFTY FPI 150,0,INDICES ELIGIBLE IN DERIVATIVES,1542.9,1542.85,1592.55,31-Aug-2026,1568.5,0,1552.5,3.29,22.24,-3.12,0,-0.7,1553.7,04-Sep-2026,1553.7,1,-10.8,1641.4,1346.5
24,2026-09-07 12:57:39,https://nsearchives.nseindia.com/30d/NIFTY-100.svg,https://nsearchives.nseindia.com/365d/NIFTY-100.svg,https://nsearchives.nseindia.com/today/NIFTY-100.svg,07-Aug-2026,05-Sep-2025,76,1.15,25018.7,NIFTY 100,NIFTY 100,0,BROAD MARKET INDICES,24868.5,24867.55,25712.7,31-Aug-2026,25235.05,25356.85,25010.95,2.95,20.02,-3.28,-1.93,-0.62,25023.15,04-Sep-2026,25023.15,0,-154.65,26975.15,22720.45
47,2026-09-07 12:57:39,https://nsearchives.nseindia.com/30d/NIFTY-200.svg,https://nsearchives.nseindia.com/365d/NIFTY-200.svg,https://nsearchives.nseindia.com/today/NIFTY-200.svg,07-Aug-2026,05-Sep-2025,152,1.03,13910.15,NIFTY 200,NIFTY 200,0,BROAD MARKET INDICES,13822.7,13822.45,14231.1,31-Aug-2026,14053.7,13790.05,13903.35,3.16,21.51,-2.87,0.24,-0.62,13908.5,04-Sep-2026,13908.5,1,-85.8,14700.95,12396.1
156,2026-09-07 12:57:39,https://nsearchives.nseindia.com/30d/NIFTY-500.svg,https://nsearchives.nseindia.com/365d/NIFTY-500.svg,https://nsearchives.nseindia.com/today/NIFTY-500.svg,07-Aug-2026,05-Sep-2025,342,0.96,23260.4,NIFTY 500,NIFTY 500,0,BROAD MARKET INDICES,23125.2,23125,23712.1,31-Aug-2026,23450.35,22829.15,23248.05,3.24,22.53,-2.48,1.3,-0.55,23254.15,04-Sep-2026,23254.15,3,-128.95,24144.2,20385.65
10,2026-09-07 12:57:39,https://nsearchives.nseindia.com/30d/NIFTY-MIDCAP-50.svg,https://nsearchives.nseindia.com/365d/NIFTY-MIDCAP-50.svg,https://nsearchives.nseindia.com/today/NIFTY-MIDCAP-50.svg,07-Aug-2026,05-Sep-2025,39,0.52,18159.7,NIFTY MIDCAP 50,NIFTY MIDCAP 50,0,BROAD MARKET INDICES,18013.2,18012.6,18172.6,31-Aug-2026,18491.45,16091.9,18126.45,4.34,35.65,-0.88,11.94,-0.63,18127.75,04-Sep-2026,18127.75,1,-114.55,18500.95,14804.55
